S.No,Syndrome,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
16,Christmas disease,Prolonged bleeding after injuries,Easy bruising,Hemarthroses (joint bleeding),Muscle hematomas,Nosebleeds,Prolonged bleeding after surgery or dental work,Blood in urine/stool,Menorrhagia in females (carriers sometimes symptomatic),Anemia,Fatigue
17,Cockayne syndrome,Growth failure,Microcephaly,Neurodevelopmental delay,Photosensitivity,Progressive hearing loss,Vision impairment,Premature aging features,Developmental regression,Dental anomalies,Poor feeding
18,Coffin-Lowry syndrome,Severe to moderate intellectual disability,Distinctive facial features,Short stature,Hypotonia,Skeletal abnormalities,Progressive kyphosis,Pectus deformities,Tapered fingers,Hearing loss,Delayed motor milestones
19,Cohen's syndrome,Developmental delay,Hypotonia in infancy,Microcephaly,Truncal obesity developing later,Myopia or retinal dystrophy,Neutropenia leading to infections,Joint laxity,Long eyelashes,Prominent upper central incisors,Speech delay
20,Congenital central hypoventilation syndrome,Hypoventilation during sleep,Shallow or slow breathing,Cyanosis episodes,Apnea spells in infancy,Poor ventilatory response to CO2,Fatigue,Difficulty feeding,Constipation,Autonomic dysfunction (temperature instability),Developmental delay in some
21,Cornelia de Lange syndrome,Growth retardation,Microcephaly,"Distinctive facial features (arched eyebrows, long eyelashes)",Intellectual disability,Limb reductions or micromelia,Small hands/feet,Feeding difficulties,Gastroesophageal reflux,Hearing loss,Behavioral challenges
22,Cri-du-chat syndrome,High-pitched cat-like cry in infancy,Microcephaly,Low birth weight,"Distinctive facial features (round face, wide-set eyes)",Severe speech and motor delays,Intellectual disability,Hypotonia,Feeding difficulties,Cardiac defects,Behavioral problems
23,Crouzon's syndrome,Premature fusion of skull sutures,"Wide-set, bulging eyes (proptosis)",Midface hypoplasia,Underbite,Hearing problems,Dental overcrowding,Visual impairment,Shallow eye sockets,High-arched palate,Occasional airway obstruction
24,Cystic fibrosis,Chronic productive cough,Recurrent lung infections,Wheeze/shortness of breath,Failure to thrive/poor weight gain,Salty-tasting skin,Steatorrhea (fatty stools),Pancreatic insufficiency,Nasal polyps,Clubbing of fingers,Male infertility (absent vas deferens)
25,Down's syndrome,Hypotonia in infancy,"Characteristic facial features (flat face, upslanting palpebral fissures)",Single transverse palmar crease,Intellectual disability,Developmental delay,Congenital heart defects (AV septal defects),Duodenal atresia/tracheoesophageal issues,Hearing loss,Thyroid dysfunction,Short stature
26,Duchenne muscular dystrophy,Progressive proximal muscle weakness,Difficulty rising (Gowers' sign),Frequent falls,Calf pseudohypertrophy,Delay in motor milestones,Loss of ambulation by early teens,Respiratory insufficiency,Cardiomyopathy,Fatigue,Elevated creatine kinase
27,Edward's syndrome,Low birth weight,Small jaw (micrognathia),Clenched hands with overlapping fingers,Rocker-bottom feet,Congenital heart defects,Severe intellectual disability,Feeding problems,Hypotonia,Omphalocele in some,Short sternum
28,Ehlers-Danlos syndrome,Joint hypermobility,Recurrent joint dislocations,Extremely elastic/stretchy skin,Easy bruising,Delayed wound healing,Chronic joint pain,Early osteoarthritis,Scoliosis,Fragile blood vessels (vascular type),Fatigue
29,Ellis-Van Creveld syndrome,Short stature,Short limbs,Postaxial polydactyly (extra fingers),Dental anomalies,Nail dysplasia,Congenital heart defects (common),Narrow thorax,Short ribs,Hip dysplasia,Respiratory difficulties
30,Epidermolysis bullosa,Skin blistering after minor trauma,Painful erosions,Mucosal involvement (mouth/esophagus),Nail dystrophy or loss,Scarring,Delayed wound healing,Risk of skin infection,Feeding difficulties,Anemia from chronic loss,Dental enamel defects
31,Fabry disease,Episodes of burning pain in hands/feet,Angiokeratomas,Hypohidrosis (reduced sweating),Corneal verticillata,Proteinuria,Renal insufficiency,Left ventricular hypertrophy,Tinnitus/hearing loss,GI pain/diarrhea,Stroke at young age
32,Foetal alcohol syndrome,Growth deficiency before/after birth,Small head (microcephaly),Smooth philtrum,Thin upper lip,Short palpebral fissures,Intellectual disability,Behavioral problems,Poor coordination,Heart defects,Vision problems
33,Fragile X syndrome,Intellectual disability (males more affected),Large ears,Long face,Macroorchidism (after puberty),Speech delay,Social anxiety,Hyperactivity,Hand flapping,Autistic features,Seizures in some
34,Friedrich's ataxia,Progressive gait ataxia,Dysarthria,Loss of lower limb reflexes,Muscle weakness,Scoliosis,Pes cavus,Hypertrophic cardiomyopathy,Diabetes mellitus in some,Sensory loss,Fatigue
35,Galactosaemia,Vomiting,Jaundice,Failure to thrive,Hepatomegaly,Cataracts,Lethargy,Sepsis (E. coli risk),Hypoglycemia,Developmental delay if untreated,Renal dysfunction in some
36,Gaucher disease,Enlarged spleen (splenomegaly),Enlarged liver (hepatomegaly),Bone pain and crises,Anemia,Thrombocytopenia,Easy bruising,Fatigue,Bone fractures,Growth delay in children,Pulmonary involvement in some types
37,Gilles de la Tourette syndrome,"Multiple motor tics (eye blinking, facial grimacing)","Vocal tics (throat clearing, grunts)",Onset in childhood,Coprolalia in some,Echolalia/echopraxia,Attention problems,OCD behaviors,Sleep disturbance,Anxiety,Social difficulties
38,Goldenhar syndrome,Facial asymmetry,Ear anomalies (microtia),Epibulbar dermoids,Vertebral anomalies,Cleft lip/palate in some,Hearing loss,Eye abnormalities,Difficulty breathing,Underdeveloped jaw,Dental anomalies
39,Gorlin's syndrome,Multiple basal cell carcinomas,Jaw keratocysts,Palmar/plantar pits,Calcified falx cerebri,Rib anomalies,Macrocephaly,Medulloblastoma risk,Ovarian fibromas,Odontogenic cysts,Skeletal abnormalities
40,Guillain Barre syndrome,Rapidly progressive weakness,Ascending paralysis,Paresthesias,Loss of reflexes,Facial weakness,Respiratory muscle involvement,Autonomic dysfunction,Pain,Difficulty walking,Recent infection history
41,Haemolytic-uraemic syndrome,Bloody diarrhea (in typical form),Acute renal failure,Oliguria,Hemolytic anemia,Thrombocytopenia,Pale skin,Fatigue,Hypertension,Neurological symptoms in severe cases,Edema
42,Holt-oram syndrome,Upper limb anomalies (radial ray defects),Thumb abnormalities,Triphalangeal thumb,Wrist/arm malformations,"Congenital heart defects (ASD, VSD)",Arrhythmias,Reduced hand function,Short forearms,Delayed motor milestones,Family history of similar features
43,Haemophilia,Easy bruising,Prolonged bleeding after injury,Hemarthroses (joint bleeds),Muscle hematomas,Nosebleeds,Excessive bleeding after surgery/dental work,Intracranial hemorrhage risk,Prolonged bleeding from minor cuts,Anemia in recurrent bleeding,Family history
44,Homocystinuria,Developmental delay,Intellectual disability,Ectopia lentis (lens dislocation),Marfanoid habitus,Long thin limbs,Thromboembolism (strokes),Osteoporosis,Scoliosis,Behavioral problems,Seizures
45,Hunter's syndrome,Coarse facial features,Developmental delay (variable),Hearing loss,Recurrent ear and respiratory infections,Enlarged liver and spleen (hepatosplenomegaly),Joint stiffness,Short stature,Cardiac valve disease,Airway obstruction,Reduced endurance
46,Hurler's syndrome,Coarse facial features,Developmental delay,Corneal clouding,Hepatosplenomegaly,Skeletal deformities (dysostosis multiplex),Airway obstruction,Cardiac disease,Short stature,Recurrent respiratory infections,Hernias
47,Hypertrophic Cardio-myopathy,Exertional dyspnea,Chest pain,Syncope,Palpitations,Fatigue,Arrhythmias,Left ventricular hypertrophy on imaging,Murmur of outflow obstruction,Sudden cardiac death risk,Family history of cardiomyopathy
48,Ichthyosis,"Dry, scaly skin",Thickened skin plaques,Cracking and fissuring,Itching,Redness,Hyperkeratosis,Palm/sole involvement,Ectropion in severe types,Recurrent infections of fissures,Heat intolerance
49,Johanson-blizzard syndrome,Pancreatic insufficiency (malabsorption),Nasal alar hypoplasia,Deafness,Intellectual disability,Short stature,Hypothyroidism,Failure to thrive,Dental anomalies,Facial dysmorphism,Scalp defects/alopecia
50,Klinefelter's syndrome,Tall stature with long legs,Small testes (hypogonadism),Low testosterone,Gynecomastia,Reduced facial/body hair,Infertility,Learning difficulties,Delayed speech/language,Reduced muscle tone,Osteoporosis risk
51,Klippel-Feil syndrome,Short neck,Limited neck mobility,Low hairline at back of neck,Cervical vertebral fusion,Hearing loss in some,Scoliosis,Sprengel deformity (high scapula),Facial asymmetry,Congenital heart defects in some,Neurologic symptoms if severe
52,Landau-kleffner syndrome,Sudden or gradual loss of language (acquired aphasia),Abnormal EEG with epileptiform activity,Seizures in some,Behavioral changes,Auditory processing difficulties,Hyperactivity,Attention problems,Regression of speech,Difficulty following commands,Sleep disturbance
53,Lawrence-Moon-Biedl syndrome,Retinal degeneration (night blindness),Obesity,Polydactyly,Cognitive impairment,Hypogonadism,Renal anomalies,Speech delay,Developmental delay,Diabetes/metabolic syndrome,Behavioral issues
54,Lennox-Gastaut syndrome,"Multiple seizure types (tonic, atonic, atypical absence)",Cognitive impairment,Developmental delay,Behavioral problems,Abnormal EEG (slow spike-and-wave),Drooling,Difficulty with feeding,Frequent hospitalizations,Progressive disability,Motor impairment
55,LEOPARD syndrome,Multiple lentigines (skin spots),ECG conduction abnormalities,Ocular hypertelorism (wide-spaced eyes),Pulmonary stenosis or other cardiac defects,Short stature,Facial dysmorphism,Hearing loss,Developmental delay in some,Hypertrophic cardiomyopathy,Variable skin findings
56,Lowe's syndrome,Congenital cataracts,Corneal clouding,Hypotonia,Intellectual disability,Renal tubular dysfunction (Fanconi-like),Failure to thrive,Behavioral problems,Glaucoma,Low muscle tone,Seizures in some
57,Marfan's syndrome,"Tall, slender habitus",Long limbs and fingers (arachnodactyly),Lens subluxation (upward),Aortic root dilation/aneurysm,Hyperflexible joints,Pectus deformities,Scoliosis,Myopia,Mitral valve prolapse,Spontaneous pneumothorax in some
58,Moebius syndrome,Congenital bilateral or unilateral facial paralysis,Lack of facial expression,Difficulty closing eyes,Feeding and sucking difficulties in infancy,Strabismus,Speech and swallowing problems,Limb abnormalities in some,Hypotonia,Developmental delay in some,Respiratory issues
59,Morquio's syndrome,Short trunk dwarfism,Skeletal dysplasia,Joint laxity,Corneal clouding,Valvular heart disease,Respiratory compromise,Odontodysplasia,Hearing loss,Spinal instability,Growth retardation
60,Nephrotic syndrome,Heavy proteinuria,Generalized edema (anasarca),Hypoalbuminemia,Hyperlipidemia,Foamy urine,Susceptibility to infections,Fatigue,Loss of appetite,Blood clots risk,Growth problems in children
61,Neurofibromatosis,Multiple café-au-lait spots,Cutaneous neurofibromas,Lisch nodules (iris hamartomas),Freckling in axilla/groin,Skeletal dysplasia,Learning difficulties,Optic pathway glioma,Hearing loss (NF2),Schwannomas,Cutaneous neurofibromas causing disfigurement
62,Niemann-Pick disease,Hepatosplenomegaly,Progressive neurodegeneration (type A/C),Ataxia,Vertical supranuclear gaze palsy (type C),Developmental regression,Cherry-red spot (some types),Feeding difficulties,Respiratory problems,Lung involvement,Failure to thrive
63,Noonan's syndrome,Short stature,Webbed neck,"Congenital heart defects (pulmonary valve stenosis, hypertrophic cardiomyopathy)",Pectus deformity,Characteristic facial features,Developmental delay in some,Lymphatic abnormalities,Bleeding tendency,Cryptorchidism in males,Wide-set eyes
64,Ollier disease,Multiple enchondromas (cartilage tumors) in metaphyses,Limb asymmetry,Bone deformities,Pathologic fractures,Short stature,Pain in affected bones,Limb length discrepancy,Swelling near joints,Possible malignant transformation to chondrosarcoma,Cosmetic issues
65,Osteogenesis imperfecta,Frequent fractures with minimal trauma,Blue sclerae,Dentinogenesis imperfecta (brittle teeth),Short stature,Bone deformities,Hearing loss from ossicular abnormalities,Joint laxity,Brittle bones,Wormian bones in skull,Scoliosis
66,Patau's syndrome,Severe intellectual disability,Microphthalmia or anophthalmia,Cleft lip/palate,Polydactyly,Holoprosencephaly,Congenital heart defects,Low birth weight,Scalp defects (cutis aplasia),Omphalocele,Early death common
67,Phenylketonuria,Intellectual disability if untreated,Seizures,Eczema,Musty or mouse-like odor,Hypopigmentation of skin/hair,Behavioral problems,Microcephaly,Hyperactivity,Developmental delay,Feeding problems in infancy
68,Pierre-Robin syndrome,Small lower jaw (micrognathia),Glossoptosis (downward/posterior displacement of tongue),U-shaped cleft palate,Airway obstruction,Feeding difficulties,Failure to thrive,Otitis media,Recurrent aspiration,Dental issues,Speech delay
69,Prader-Willi syndrome,Hypotonia in infancy,Poor feeding initially then hyperphagia in childhood,Obesity,Short stature,Small hands/feet,Hypogonadism,Intellectual disability,Behavioral problems (temper outbursts),Sleep apnea,Food-seeking behaviors
70,Primary ciliary dyskinaesia,Chronic nasal congestion,Chronic wet cough,Recurrent sinusitis,Bronchiectasis,Situs inversus in about 50% (Kartagener),Male infertility (immotile sperm),Female subfertility,Otitis media,Hearing problems,Reduced exercise tolerance
71,Retinitis pigmentosa,Night blindness (nyctalopia),Loss of peripheral vision,Progressive tunnel vision,Photopsias (flashes),Difficulty adapting to low light,Visual field constriction,Decreased visual acuity later,Color vision defects in some,Cataracts,Retinal bone-spicule pigmentary changes
72,Rett's syndrome,Normal early development then regression,Loss of purposeful hand skills,Stereotypic hand wringing,Loss of spoken language,Gait abnormalities,Seizures,Breathing irregularities (hyperventilation/apnea),Growth retardation,Microcephaly,Scoliosis
73,Reye's syndrome,Persistent vomiting after viral illness,Confusion or delirium,Seizures,Lethargy,Elevated liver enzymes,Hypoglycemia,Coma in severe cases,Encephalopathy,Cerebral edema signs,Rapid progression
74,Riley-Day syndrome,Absence of tears,Episodic vomiting/retching crises,Unstable blood pressure,Reduced pain/temperature sensation,Poor growth,Hypotonia,Recurrent pneumonia,Autonomic instability,Difficulty swallowing,Developmental delay
75,Rubinstein-Taybi syndrome,Broad thumbs and toes,"Distinctive facial features (prominent nose, arched eyebrows)",Intellectual disability,Growth retardation,Microcephaly,Heart defects,Eye anomalies,Feeding difficulties,Behavioral issues,Dental problems
76,Shwachman's syndrome,Exocrine pancreatic insufficiency (steatorrhea),Failure to thrive,Recurrent infections due to neutropenia,Short stature,Bone marrow dysfunction,Skeletal anomalies,Hepatomegaly,Dental issues,Delayed puberty,Increased leukemia risk
77,San Filippo syndrome,Developmental delay,Severe behavioral problems (hyperactivity),Sleep disturbances,Progressive cognitive regression,Speech loss,Coarse facial features (milder than other MPS),Seizures,Hearing loss,Motor deterioration,Early death in severe forms
78,Sickle cell anaemia,Episodes of vaso-occlusive pain crises,Chronic hemolytic anemia,Jaundice,Splenic sequestration/infarction,Recurrent infections,Stroke risk,Acute chest syndrome,Delayed growth/puberty,Avascular necrosis of bone,Priapism in males
79,Silver-Russell syndrome,Intrauterine growth restriction,Low birth weight,Postnatal growth failure,Triangular face,Prominent forehead,Body asymmetry/hemihyperplasia,Feeding difficulties,Short stature,Delayed bone age,Hypoglycemia in infancy
80,Sjorgen-Larsson syndrome,Congenital ichthyosis (dry scaly skin),Spasticity (diplegia/quadriplegia),Intellectual disability,Seizures,Retinal crystalline deposits and vision loss,Photophobia,Speech impairment,Motor delay,Feeding difficulties,Recurrent infections
81,Smith-Lemli-Opitz syndrome,Growth retardation,Microcephaly,Intellectual disability,Cleft palate,Syndactyly of toes 2-3,Genital anomalies in males,Hypotonia,Behavioral problems,Cataracts in some,Feeding difficulties
82,Smith-Magenis syndrome,Intellectual disability,Distinctive facial features,Sleep disturbances with inverted melatonin rhythm,Self-injurious behaviors,Speech delay,Short stature,Hoarse voice,Ear anomalies,Scoliosis,Feeding difficulties in infancy
83,Soto's syndrome,Prenatal and postnatal overgrowth,Macrocephaly,Advanced bone age,Developmental delay,Learning difficulties,"Characteristic facial features (large jaw, high forehead)",Hypotonia in infancy,Cardiac defects in some,Scoliosis,Behavioral problems
84,Spinal muscular atrophy,Symmetric proximal muscle weakness,Hypotonia,Poor head control in infants,Difficulty feeding,Respiratory insufficiency,Fasciculations of tongue (in some),Progressive loss of motor milestones,Scoliosis,Reduced reflexes,Contractures in long-standing cases
85,Stickler syndrome,High myopia,Retinal detachment risk,Midfacial hypoplasia,Cleft palate,Hearing loss,Joint hypermobility,Early-onset arthritis,Flat facial profile,Pierre Robin sequence features in some,Dental anomalies
86,Sturge-Weber syndrome,Port-wine stain (facial capillary malformation),Seizures (often focal),Hemiparesis or weakness on one side,Developmental delay,Glaucoma,Cognitive impairment,Visual field defects,Headaches,Stroke-like episodes,Leptomeningeal angiomas on imaging
87,TAR syndrome,Thrombocytopenia leading to bleeding/bruising,Absent radius bone with presence of thumbs,Short forearms,Upper limb deformities,Recurrent bleeding in infancy,Petechiae,Anemia,Delayed motor milestones,Feeding difficulties,Skeletal anomalies
88,Tay-Sachs disease,Normal early infancy then progressive neurodegeneration,Loss of motor skills,Exaggerated startle response,Vision loss,Cherry-red spot on macula,Seizures,Muscle weakness,Failure to thrive,Macrocephaly in late infantile forms,Respiratory difficulties
89,Thalassaemia,Microcytic anemia,Fatigue,Jaundice,Splenomegaly,Bone deformities from marrow expansion,Growth retardation,Iron overload from transfusions,Hepatomegaly,Frontal bossing,Cardiac complications in severe forms
90,Treacher Collins syndrome,Down-slanting palpebral fissures,Hypoplasia of zygomatic bones and mandible,Ear malformations and hearing loss,Cleft palate in some,Airway obstruction,Small jaw (micrognathia),Underdeveloped cheekbones,Dental anomalies,Eye problems,Normal intelligence usually
91,Tuberous sclerosis,Hypomelanotic macules (ash leaf spots),Facial angiofibromas,Shagreen patches,Seizures,Cortical tubers,Developmental delay,Renal angiomyolipomas,Cardiac rhabdomyomas (infants),Behavioral issues (ASD),Intellectual disability in some
92,Turner's syndrome,Short stature,Webbed neck,Low hairline,Lymphedema at birth,Ovarian insufficiency/amenorrhea,Infertility,Broad chest with widely spaced nipples,Cardiac defects (coarctation of aorta),Short fourth metacarpal,Hearing loss in adulthood
93,Usher's syndrome,Congenital or early-onset sensorineural hearing loss,Progressive retinitis pigmentosa leading to night blindness,Balance problems in some types,Vision loss progressing to tunnel vision,Delayed speech/communication due to hearing loss,Vestibular dysfunction,Tinnitus,Difficulty in low light,Developmental delay in some,Social/educational impact
94,VATER association,Vertebral anomalies,Anal atresia,Cardiac defects,Tracheoesophageal fistula,Renal anomalies,Limb anomalies (radial aplasia etc.),Feeding difficulties,Respiratory distress,Recurrent infections,Growth delays
95,Vitiligo,Patches of depigmented skin,Hair whitening in affected areas,Raised risk of sunburn on depigmented patches,Itching occasionally,Psychological impact (anxiety/depression),Autoimmune association,Koebner phenomenon (lesion at trauma sites),Nail changes in some,Periorificial depigmentation,Irregular lesion borders
96,Waardenburg's syndrome,Congenital sensorineural hearing loss,Heterochromia iridis (different colored eyes),White forelock of hair,Pigmentary abnormalities of skin,Wide nasal root,Synophrys (unibrow) in some types,Dystopia canthorum (lateral displacement of inner canthi),Early graying of hair,Dystrophic teeth in some,Family history of similar features
97,West's syndrome,Infantile spasms (sudden flexor or extensor spasms),Developmental regression,Hypsarrhythmia on EEG (chaotic high amplitude pattern),Irritability,Developmental delay,Loss of acquired skills,Feeding problems,Seizure clusters,Sleep disruption,Poor eye contact
98,William's syndrome,"Friendly, social personality (overfriendliness)",Distinctive 'elfin' facial features,Supravalvular aortic stenosis,Developmental delay with uneven cognitive profile,Hypercalcemia in infancy in some,Dental abnormalities,Short stature,Feeding difficulties in infancy,Anxiety and ADHD features,Hyperacusis (sound sensitivity)
99,Wolf-Hirschhorn syndrome,Severe growth restriction,Characteristic facial 'Greek warrior helmet' appearance,Intellectual disability,Seizures,Microcephaly,Cleft palate in some,Cardiac defects,Hypotonia,Feeding difficulties,Skeletal anomalies
100,Zollinger-Ellison syndrome,Severe recurrent peptic ulcers,Abdominal pain,Diarrhea,Gastroesophageal reflux,Weight loss,Nausea/vomiting,Gastrointestinal bleeding in severe cases,Multiple ulcers in unusual locations,Steatorrhea from pancreatic insufficiency in later stages,Malabsorption
